masked,original
##뒤 윤서인은 재될것임. 말하나하나가 틀린게없음,10년뒤 윤서인은 분명히 재평가될것임. 말하나하나가 틀린게없음
##살 넘을텐데 부부라고? 무슨인지 긍금하네..,10살 차이가 넘을텐데 부부라고? 무슨 내용인지 긍금하네..
166에 57. 4 필요없지만건강위해더뺄다들 더마르게,166에 57.4 다이어트 필요없지만건강위해더뺄거야다들 더마르게봄
##년도 아니고년이 진짜 너무했다 이것이 사랑만으로 가능할수 있는지 도저히 납득이 가질 않는다,17년도 아니고 27년이면 진짜 너무했다 이것이 사랑만으로 가능할수 있는지 도저히 납득이 가질 않는다
180넘어갈 기럭지는 아님78에서79180넘는 의심. 의구심을 안하고안듬그래도 비율좋아 커보이긴,180넘어갈정도의 기럭지는 아님78에서79180넘는애들은 의심.의구심을 안하고안듬그래도 비율좋아 커보이긴함
##년 자유당 시절에에 입학하셨다가 할리우드로 진출하셨어요? 대단하신 분이셨군요.,1959년 자유당 시절에 하버드 로스쿨에 입학하셨다가 할리우드로 진출하셨어요? 대단하신 분이셨군요.
##에서로 바뀌고 망트리거...,19에서15로 바뀌고 망트리 탄거...
##도 안아깝다 ☝☝️☝️☝️☝️☝️☝,1억도 안아깝다 ☝️☝️☝️☝️☝️☝️☝️
1일1식은 난 못하겠네 흐흐 한상진함,1일1식은 난 못하겠네 흐흐 한상진씨 연기잘함
1회에 교도소에서 마취도 없이 자기몸 꿰거랑뜨거운 커피말고 차가운거만먹는거아랏 난 무통증 무감각이라고,1회에 교도소에서 마취도 없이 자기몸 꿰매는거랑뜨거운 커피말고 차가운거만먹는거보고아랏는데 난 무통증 무감각이라고
##년도 봤는데 서지영이랑 스포츠카타고온거... 18이네 ㅎㅎ,2002년도 여름에 봤는데 서지영이랑 스포츠카타고온거...18년전이네 ㅎㅎ
마마 화사,2018년 마마 진정한 승자 화사
206000달러 중 겨우 계약금 수준인 34700을 지불안했다면 뭔같아기어 박아요,206000달러 중 겨우 계약금 수준인 34700을 지불안했다면 뭔 사정이 있을거같아 중립기어 박아요
##째애중? 길다.,20년째 열애중? 너무 길다.
##년종처럼 한결 같기는 힘들겠지만 서로 양보하고 배려하며 비슷하게만 살아도 싸울일 반으로 줄이고 아내 행복하게 만들어줌,26년 최수종님처럼 한결 같기는 힘들겠지만 서로 양보하고 배려하며 비슷하게만 살아도 싸울일 반으로 줄이고 아내 행복하게 만들어줌
39세라고 나와있구만 ㅡㅡ 양세 아님???,39세라고 나와있구만 ㅡㅡ 양세종은 20대 아님???
3일에 12어치만큼력있는 사람입니다. 왜 다들 조롱만 하나요? 잘 알지 못한다면 더더욱 함부로 말하면 안되죠.,3일에 12억원어치 팔만큼 파급력있는 사람입니다. 왜 다들 조롱만 하나요? 잘 알지 못한다면 더더욱 함부로 말하면 안되죠.
"45억 빚진것도 신기하고, 그 빚을 이미 완전 인기가 저물어도 몇년만에는다는게 더 신기하다. 그러면 홍진영 이런애들은 1년에다는거야 ㅋㅋ","45억 빚진것도 신기하고, 그 빚을 이미 완전 인기가 저물어도 몇년만에 갚는다는게 더 신기하다. 그러면 홍진영 이런애들은 1년에 얼마 번다는거야 ㅋㅋ"
